"Story","Title","Result","Date","Stability","Duration (s)"
"Inicio de sesión","Login fallido con usuario bloqueado","SUCCESS","2025-04-18T11:11:50.6460175-05:00[America/Bogota]","0.0","2.13"
"Inicio de sesión","Login exitoso con usuario válido","SUCCESS","2025-04-18T11:49:10.2887881-05:00[America/Bogota]","0.0","11.58"
