"Story","Title","Result","Date","Stability","Duration (s)"
"Inicio de sesión","Login exitoso con usuario válido","ERROR","2025-04-18T11:03:39.7280703-05:00[America/Bogota]","0.0","0.46"
"Inicio de sesión","Login fallido con usuario bloqueado","ERROR","2025-04-18T11:03:40.2359257-05:00[America/Bogota]","0.0","0.19"
